Player Name,Total Clubs Played For,Clubs Played For
Julian C. Ricci,3,"Fiorentina, Rangers, Celtic"
Rafael L. Martinez,1,Atlanta United
Mason E. Diaz,1,LA Galaxy
Miklós J. Perez,1,West Ham United
Josko F. Flores,3,"Real Betis, Liverpool, LAFC"
Gonçalo E. Gonzales,4,"Arsenal, Juventus, Corinthians, Atletico Madrid"
Gabriel J. De Bruyne,1,Everton
Sven D. Romano,7,"LA Galaxy, LAFC, Real Betis, Tottenham Hotspur, Real Sociedad, Atalanta, Rennes"
Cody D. Simon,3,"Shakhtar Donetsk, West Ham United, Real Sociedad"
Noah G. Gomez,5,"River Plate, Fluminense, Santos, BRAGA, Paris Saint-Germain"
Youssef R. Williams,4,"Nice, Chelsea, AS Roma, Fenerbahce"
Youssef H. Schneider,4,"Wolverhampton, River Plate, Juventus, Bologna"
Leonardo B. Diaz,2,"LAFC, River Plate"
Oluwaseun M. Hernandez,1,Inter Miami
Nicolas P. Evans,7,"Borussia Mönchengladbach, Valencia, Corinthians, Benfica, Rangers, Marseille, Inter Milan"
Kwan S. Vasquez,5,"Aston Villa, Corinthians, Arsenal, Real Sociedad, Wolverhampton"
Ethan V. Schneider,7,"Atlanta United, Palmeiras, Marseille, Athletic Bilbao, Everton, Bayern Munich, Fenerbahce"
Bernardo K. Wilson,5,"Sevilla, Dynamo Kyiv, Manchester United, Galatasaray, Shakhtar Donetsk"
Gabriel D. Schulz,5,"Everton, Rangers, Grêmio, Fiorentina, RB Leipzig"
Jonas B. Jones,5,"São Paulo, BRAGA, Olympiacos, LAFC, Atletico Madrid"
Stefan A. Brown,2,"Brighton & Hove Albion, Lille"
Tiago M. Esposito,2,"Santos, Valencia"
Romelu F. Diaz,6,"Villarreal, BRAGA, Brighton & Hove Albion, Sporting CP, Borussia Dortmund, Getafe"
Hugo P. Müller,3,"Benfica, Celtic, Real Sociedad"
Kwame N. Dubois,3,"River Plate, Sporting CP, Tottenham Hotspur"
Kofi K. Rodriguez,7,"VfL Wolfsburg, Getafe, Villarreal, Real Betis, West Ham United, Benfica, Marseille"
Noah N. Smith,6,"River Plate, SS Lazio, AS Roma, West Ham United, Inter Miami, Bayern Munich"
Virgil C. Hernandez,4,"Atletico Madrid, Sporting CP, Manchester United, Inter Milan"
Rafael H. Jones,1,Besiktas
Cody J. Rodriguez,7,"AC Milan, Eintracht Frankfurt, Flamengo, Paris Saint-Germain, Olympiacos, SS Lazio, LAFC"
Dimitri R. Weber,6,"Galatasaray, Arsenal, Paris Saint-Germain, Bologna, Celtic, Everton"
Dominik L. Wilson,6,"Atalanta, Torino, Manchester United, Tottenham Hotspur, Paris Saint-Germain, SS Lazio"
Kenji T. Diaz,3,"LAFC, Al-Ittihad, Flamengo"
Ethan F. Bianchi,3,"AS Roma, PSV Eindhoven, Inter Miami"
Gabriel G. Van Dijk,7,"Lyon, Tottenham Hotspur, Galatasaray, PSV Eindhoven, Flamengo, Arsenal, Marseille"
Oluwaseun E. Sanchez,6,"Real Sociedad, Benfica, Al-Nassr, Torino, Barcelona, Everton"
João F. Simon,1,Bayer Leverkusen
Cody S. Smit,2,"Borussia Mönchengladbach, Brighton & Hove Albion"
Xavi P. Smit,2,"Inter Milan, Bayer Leverkusen"
Federico L. Flores,6,"Barcelona, Olympiacos, Manchester United, PSV Eindhoven, Schalke 04, Inter Milan"
Jonas Marino,2,"AS Roma, Real Madrid"
Sandro B. Bianchi,5,"Shakhtar Donetsk, Bayer Leverkusen, BRAGA, Bologna, Al-Nassr"
Gianluigi C. Moreno,1,Grêmio
Alexander B. Garcia,2,"Real Madrid, Nice"
Mateo B. Becker,4,"Benfica, Fluminense, Napoli, Newcastle United"
Samuel L. Santos,3,"Barcelona, Eintracht Frankfurt, Al-Nassr"
Kwame L. Esposito,7,"Getafe, Brighton & Hove Albion, Aston Villa, Lyon, Real Madrid, Dynamo Kyiv, Atlanta United"
Leonardo F. Moreno,5,"Besiktas, FC Porto, Olympiacos, Inter Miami, West Ham United"
Jonas K. Alvarez,5,"Ajax, Al-Nassr, Lille, AC Milan, Fenerbahce"
Tariq F. Alvarez,4,"Fenerbahce, Ajax, River Plate, AS Roma"
Frenkie M. Torres,2,"São Paulo, Juventus"
Tiago F. Wilson,4,"Newcastle United, Tottenham Hotspur, Villarreal, Getafe"
Felix Lefebvre,3,"Real Betis, PSV Eindhoven, Al-Ahli"
Eden B. Colombo,7,"RB Leipzig, Torino, AS Roma, Napoli, Arsenal, Bayern Munich, Barcelona"
Jakub R. Jones,3,"Dynamo Kyiv, Lyon, LAFC"
Ivan R. Jansen,6,"Grêmio, Bologna, Ajax, AC Milan, LA Galaxy, Al-Hilal"
Bernardo C. Colombo,1,BRAGA
Gonçalo H. Weber,6,"Paris Saint-Germain, Palmeiras, River Plate, Olympiacos, Athletic Bilbao, Fiorentina"
Igor A. Smith,7,"Olympiacos, SS Lazio, VfL Wolfsburg, Atalanta, Torino, Real Betis, Athletic Bilbao"
Carlos R. Evans,7,"Lille, Wolverhampton, RB Leipzig, Atlanta United, Benfica, Barcelona, Nice"
Rafael L. Brown,1,Benfica
Elias V. Michel,6,"AS Roma, Borussia Mönchengladbach, SS Lazio, Palmeiras, LAFC, Aston Villa"
Bruno K. Rojas,7,"Lille, Getafe, RB Leipzig, São Paulo, Atalanta, Besiktas, Monaco"
Filip K. Ricci,3,"Ajax, Eintracht Frankfurt, Bologna"
Gavi L. Evans,6,"Inter Milan, LA Galaxy, Corinthians, Liverpool, BRAGA, Fluminense"
Miklós G. Taylor,6,"LA Galaxy, Sporting CP, Inter Miami, Rangers, São Paulo, Al-Hilal"
Giorgio A. Laurent,7,"Real Sociedad, BRAGA, SS Lazio, Boca Juniors, Brighton & Hove Albion, PSV Eindhoven, RB Leipzig"
Julian M. Esposito,3,"Fluminense, Liverpool, West Ham United"
Bruno G. Moreau,5,"Juventus, Arsenal, West Ham United, Schalke 04, Fenerbahce"
Gavi K. Flores,5,"Schalke 04, Barcelona, Eintracht Frankfurt, Liverpool, Atlanta United"
Oluwaseun P. Evans,4,"AS Roma, Aston Villa, Bayer Leverkusen, Napoli"
Samuel C. Romano,5,"Al-Hilal, BRAGA, Al-Ahli, Paris Saint-Germain, Marseille"
Noah K. Alvarez,7,"Shakhtar Donetsk, Al-Nassr, Wolverhampton, Flamengo, Getafe, Olympiacos, River Plate"
Diego V. Leroy,4,"Sevilla, Atletico Madrid, Santos, Bayern Munich"
Dimitri K. Rossi,1,Borussia Dortmund
Jan P. Simon,1,BRAGA
Arthur V. Flores,3,"Villarreal, AS Roma, Borussia Dortmund"
Kofi L. Visser,4,"Bayer Leverkusen, São Paulo, Palmeiras, Grêmio"
Liam D. Meyer,1,Villarreal
Amir L. Williams,2,"Rennes, Palmeiras"
Oluwaseun H. Bruno,6,"Bologna, RB Leipzig, Real Sociedad, AC Milan, Monaco, Al-Ahli"
Lukas K. Lopez,2,"River Plate, Marseille"
Felix K. Ricci,3,"Napoli, Santos, Getafe"
Ciro R. Alvarez,1,Celtic
Carlos D. Jansen,5,"Santos, Inter Milan, Grêmio, Everton, PSV Eindhoven"
Diogo K. Hoffmann,2,"Atalanta, Aston Villa"
Jan Esposito,1,Liverpool
Liam J. Rojas,1,West Ham United
Noah M. Lopez,4,"Borussia Dortmund, Bologna, Dynamo Kyiv, Fiorentina"
Axel P. Perez,6,"Al-Nassr, Fenerbahce, Liverpool, BRAGA, Getafe, Newcastle United"
Adrian M. Meyer,6,"Barcelona, Dynamo Kyiv, Fiorentina, Lyon, PSV Eindhoven, Eintracht Frankfurt"
Lucas E. Williams,7,"Feyenoord, Borussia Mönchengladbach, Besiktas, Eintracht Frankfurt, Sevilla, Grêmio, Galatasaray"
Cody J. Perez,1,Grêmio
Romelu N. Schneider,4,"Marseille, Paris Saint-Germain, River Plate, Sporting CP"
Liam L. Bianchi,2,"Sporting CP, Chelsea"
Lorenzo C. Rossi,3,"AS Roma, LA Galaxy, Barcelona"
Sven J. Wagner,6,"Eintracht Frankfurt, AS Roma, Monaco, Brighton & Hove Albion, Barcelona, AC Milan"
Alexander N. Sanchez,6,"BRAGA, Grêmio, AC Milan, Lille, Al-Hilal, Galatasaray"
Gonçalo F. Nieuwenhuis,6,"Liverpool, Inter Miami, Atalanta, Palmeiras, Grêmio, Inter Milan"
Luka L. David,3,"Schalke 04, AC Milan, Fenerbahce"
Lukas H. Ramirez,5,"Newcastle United, Valencia, Grêmio, Boca Juniors, Celtic"
Andrei D. Rossi,4,"PSV Eindhoven, Celtic, Chelsea, SS Lazio"
Ciro F. Lefebvre,7,"Sporting CP, RB Leipzig, Sevilla, Santos, River Plate, Fluminense, Al-Nassr"
Lorenzo E. De Bruyne,5,"Santos, Sporting CP, West Ham United, Villarreal, Brighton & Hove Albion"
Kenji S. Bertrand,5,"Lille, Tottenham Hotspur, Getafe, VfL Wolfsburg, LAFC"
Giorgio L. Ramirez,5,"Fenerbahce, Monaco, Al-Hilal, PSV Eindhoven, Barcelona"
Daniel J. Greco,7,"Getafe, Valencia, Fluminense, Fenerbahce, Sporting CP, Olympiacos, Besiktas"
Jakub T. Lefebvre,6,"Atlanta United, Real Betis, Bayern Munich, Palmeiras, Olympiacos, Grêmio"
Giorgio J. Wilson,6,"Ajax, Rennes, Al-Ahli, Dynamo Kyiv, Olympiacos, Inter Milan"
Josko N. Marino,1,São Paulo
Rafael G. Weber,4,"Aston Villa, Barcelona, Bayer Leverkusen, Rennes"
Kwan G. Schulz,1,LAFC
Alessandro J. Evans,3,"Wolverhampton, Corinthians, Fenerbahce"
Sandro G. Smith,3,"Fluminense, Manchester United, Rennes"
Louis Bertrand,4,"Al-Nassr, Atletico Madrid, Getafe, Fiorentina"
Jonas T. Greco,5,"Ajax, Al-Ittihad, Nice, Inter Milan, Fiorentina"
Gianluigi R. Visser,3,"LAFC, River Plate, BRAGA"
Miklós J. Rodriguez,6,"Al-Ittihad, Eintracht Frankfurt, Villarreal, Celtic, Borussia Dortmund, Juventus"
Jan V. Colombo,1,AS Roma
Kevin V. Dubois,2,"Bayer Leverkusen, VfL Wolfsburg"
Thibaut G. Romano,3,"Wolverhampton, Arsenal, Torino"
Marco F. Leroy,6,"Chelsea, Arsenal, Besiktas, Valencia, Napoli, Al-Ittihad"
Xavi R. Schneider,3,"BRAGA, LA Galaxy, Schalke 04"
Carlos M. Schneider,6,"AC Milan, Villarreal, LA Galaxy, AS Roma, Besiktas, Borussia Dortmund"
Tariq D. Diaz,5,"Arsenal, Marseille, Everton, Manchester United, Sporting CP"
Noah F. Bruno,7,"Lille, Real Sociedad, Valencia, AS Roma, Dynamo Kyiv, Bologna, LAFC"
Dominik E. Garcia,1,AC Milan
Kwan P. Rodriguez,4,"Eintracht Frankfurt, Rennes, Atlanta United, Marseille"
Jonas D. Smit,7,"Barcelona, Al-Ahli, Eintracht Frankfurt, VfL Wolfsburg, Everton, Flamengo, Besiktas"
Paul G. Alvarez,1,Atletico Madrid
Mateo N. Jones,7,"Athletic Bilbao, Atlanta United, Galatasaray, Inter Milan, Real Sociedad, Fiorentina, West Ham United"
Dimitri H. De Bruyne,2,"Atlanta United, Marseille"
Paul R. Lopez,3,"Liverpool, Paris Saint-Germain, Olympiacos"
Amir N. Evans,6,"Borussia Mönchengladbach, Al-Ahli, Brighton & Hove Albion, Borussia Dortmund, Manchester City, PSV Eindhoven"
Mateo J. Romano,3,"Athletic Bilbao, Lyon, Olympiacos"
Louis T. Rodriguez,6,"AC Milan, Juventus, Fiorentina, Olympiacos, Everton, Shakhtar Donetsk"
Youssef V. Martinez,5,"Shakhtar Donetsk, Al-Hilal, São Paulo, Grêmio, River Plate"
Axel R. Lopez,2,"Galatasaray, FC Porto"
Cody M. Fernandez,4,"River Plate, LA Galaxy, Ajax, Borussia Mönchengladbach"
Chidi C. Romano,1,Rennes
Elias N. Rojas,6,"Atletico Madrid, Flamengo, Atlanta United, BRAGA, Athletic Bilbao, Torino"
Nicolas G. Ricci,7,"Inter Miami, Borussia Mönchengladbach, Flamengo, Celtic, Palmeiras, VfL Wolfsburg, Liverpool"
Kenji M. Wilson,7,"Inter Milan, Valencia, Manchester City, Bayer Leverkusen, Newcastle United, Sevilla, Villarreal"
Xavi K. Colombo,3,"River Plate, Real Sociedad, Lyon"
Chidi D. Williams,7,"Tottenham Hotspur, Rennes, Al-Hilal, AS Roma, Athletic Bilbao, Rangers, Boca Juniors"
Gianluigi H. Rodriguez,2,"Bologna, Paris Saint-Germain"
Nathan L. Van Dijk,5,"PSV Eindhoven, Santos, Torino, Sevilla, West Ham United"
Leonardo L. Ferrari,1,Fluminense
Memphis D. Greco,4,"Real Betis, Grêmio, Bayern Munich, Boca Juniors"
Dries J. Perez,3,"River Plate, Athletic Bilbao, Ajax"
Leonardo F. Hernandez,4,"Fenerbahce, Al-Ittihad, Atletico Madrid, Rennes"
Louis R. Ferrari,4,"Chelsea, Borussia Dortmund, Real Madrid, Schalke 04"
Kofi N. Rodriguez,4,"Torino, Sporting CP, Shakhtar Donetsk, Real Sociedad"
Virgil B. Schmidt,5,"Nice, Flamengo, Real Sociedad, Olympiacos, Rangers"
Nicolò V. De Jong,6,"Atlanta United, Lyon, Bologna, Nice, Lille, River Plate"
Federico B. Jansen,7,"RB Leipzig, Nice, PSV Eindhoven, São Paulo, BRAGA, Shakhtar Donetsk, Inter Miami"
Oliver D. Flores,7,"Besiktas, Al-Ittihad, PSV Eindhoven, Dynamo Kyiv, Torino, Villarreal, Manchester City"
Jan M. Nieuwenhuis,6,"LAFC, Ajax, São Paulo, Olympiacos, AC Milan, Feyenoord"
Hiroshi J. Smith,4,"Feyenoord, Inter Milan, Barcelona, Al-Ittihad"
Arthur T. Michel,7,"Fenerbahce, Torino, Boca Juniors, Paris Saint-Germain, Manchester United, Grêmio, BRAGA"
João N. Moreau,6,"Liverpool, Brighton & Hove Albion, Chelsea, SS Lazio, PSV Eindhoven, Marseille"
Leonardo R. Fernandez,6,"Borussia Dortmund, LAFC, Al-Ittihad, Marseille, Palmeiras, Chelsea"
Filip H. Rodriguez,3,"Schalke 04, Juventus, Fluminense"
Amir P. Bianchi,5,"Bologna, Barcelona, Lyon, West Ham United, Besiktas"
Jan S. Lefebvre,5,"Celtic, Al-Hilal, Tottenham Hotspur, Real Sociedad, Grêmio"
Giorgio H. Gomez,3,"Villarreal, Liverpool, Wolverhampton"
Lorenzo T. Rodriguez,1,West Ham United
Rafael C. Torres,4,"Bayer Leverkusen, Sporting CP, Inter Milan, Bologna"
Eden H. Colombo,1,Marseille
Arthur V. Garcia,1,LA Galaxy
Xavi J. Gonzales,2,"BRAGA, Tottenham Hotspur"
Dominik S. Laurent,5,"Brighton & Hove Albion, Atalanta, Borussia Dortmund, Liverpool, Newcastle United"
Elias K. Rossi,2,"Bayern Munich, Villarreal"
Josko B. Moreau,5,"Real Betis, Tottenham Hotspur, Besiktas, Arsenal, Juventus"
Dominik T. Silva,3,"Besiktas, Ajax, Tottenham Hotspur"
Nicolò V. Visser,7,"Tottenham Hotspur, Bologna, Manchester United, Getafe, Dynamo Kyiv, Bayer Leverkusen, Lyon"
Rafael J. Moreau,1,Juventus
Mateo P. Visser,3,"Real Betis, Real Madrid, SS Lazio"
Rafael V. Meyer,7,"Paris Saint-Germain, Al-Nassr, Fiorentina, Liverpool, São Paulo, Atletico Madrid, Celtic"
Louis F. Ricci,4,"Sevilla, Borussia Mönchengladbach, Galatasaray, AS Roma"
Bernardo K. Sanchez,6,"Al-Ahli, Getafe, Al-Hilal, Celtic, Fluminense, Fenerbahce"
Filip N. Evans,7,"Barcelona, Shakhtar Donetsk, Atletico Madrid, BRAGA, Torino, FC Porto, River Plate"
Lukas R. Williams,3,"Bayer Leverkusen, Olympiacos, Al-Nassr"
Giorgio D. Leroy,6,"West Ham United, Newcastle United, Paris Saint-Germain, FC Porto, Atlanta United, Fenerbahce"
Mason M. Ferrari,5,"Dynamo Kyiv, AC Milan, Napoli, Inter Milan, Fenerbahce"
Xavi L. Schneider,1,Olympiacos
Ciro K. Silva,5,"Lille, Valencia, SS Lazio, Grêmio, Inter Miami"
Gavi R. Lopez,6,"Santos, Olympiacos, Bayern Munich, Rennes, PSV Eindhoven, Monaco"
Tariq V. Wagner,7,"Atletico Madrid, Juventus, Grêmio, Atlanta United, Borussia Dortmund, São Paulo, Dynamo Kyiv"
Miklós J. Ferrari,5,"Fluminense, AC Milan, Sporting CP, Juventus, Bayer Leverkusen"
Nicolas A. Taylor,3,"Al-Ahli, LAFC, Fenerbahce"
Romelu H. Perez,6,"Al-Nassr, Ajax, Santos, Feyenoord, Boca Juniors, Flamengo"
Frenkie H. Bianchi,4,"SS Lazio, FC Porto, Real Sociedad, Villarreal"
Kofi A. Bianchi,6,"Lille, Al-Ahli, Bayer Leverkusen, Boca Juniors, Schalke 04, Atletico Madrid"
Chidi F. Rodriguez,2,"Besiktas, Brighton & Hove Albion"
Benjamin E. De Jong,3,"Paris Saint-Germain, PSV Eindhoven, Nice"
Nicolas E. Diaz,5,"Benfica, Bologna, Getafe, LAFC, Chelsea"
Daniel J. Ramirez,2,"Everton, Real Betis"
Stefan K. Thomas,6,"Al-Ahli, Everton, LAFC, Paris Saint-Germain, São Paulo, Dynamo Kyiv"
Alessandro S. Müller,1,Aston Villa
Daniel V. Lopez,2,"Bayern Munich, RB Leipzig"
Chidi F. Wagner,1,Everton
Amir L. Müller,5,"Atlanta United, Inter Milan, Valencia, Atletico Madrid, Bayern Munich"
Eden V. Weber,3,"RB Leipzig, Sevilla, Liverpool"
Kenji D. Roberts,4,"Rangers, SS Lazio, Real Madrid, Nice"
Kwame T. Flores,6,"Barcelona, Getafe, Fluminense, Wolverhampton, Olympiacos, Atlanta United"
Memphis V. Colombo,4,"West Ham United, Borussia Mönchengladbach, Lyon, Chelsea"
Kwame C. Santos,2,"Bayer Leverkusen, Palmeiras"
Noah R. Ferrari,7,"São Paulo, Shakhtar Donetsk, Schalke 04, Bologna, Al-Nassr, Inter Milan, Atlanta United"
Maximilian F. Torres,2,"Al-Ahli, PSV Eindhoven"
Kwan Martinez,2,"Sporting CP, Barcelona"
Toby C. Jones,2,"Napoli, Bologna"
Pedri N. Hernandez,7,"Atlanta United, Al-Nassr, Bayern Munich, Fiorentina, Manchester City, SS Lazio, Dynamo Kyiv"
Jan F. Alvarez,2,"Nice, Real Betis"
Rafael N. Perez,6,"Benfica, Real Sociedad, Grêmio, SS Lazio, Liverpool, Al-Ahli"
Miklós N. Hoffmann,7,"Bologna, Rennes, Manchester United, SS Lazio, Lille, Fenerbahce, Benfica"
Dimitri T. Schneider,6,"Rangers, Santos, Fluminense, Al-Ittihad, Monaco, Lille"
Virgil G. Schulz,4,"Nice, Fenerbahce, Bayer Leverkusen, Benfica"
Hugo D. Hernandez,5,"Wolverhampton, Fenerbahce, Feyenoord, Boca Juniors, Besiktas"
Axel B. Santos,1,Nice
Gavi R. Leroy,7,"Napoli, Eintracht Frankfurt, Ajax, Real Betis, Celtic, Bayern Munich, Manchester United"
Mateo P. Michel,3,"PSV Eindhoven, Barcelona, Valencia"
Louis C. Alvarez,5,"Liverpool, Paris Saint-Germain, Grêmio, VfL Wolfsburg, Al-Ittihad"
Leonardo L. Greco,5,"Lyon, Inter Milan, Atlanta United, BRAGA, Sevilla"
Leonardo N. Sanchez,2,"Corinthians, Real Madrid"
Lucas J. Davies,4,"Manchester City, Valencia, Sporting CP, Monaco"
Cody D. Alvarez,1,RB Leipzig
Marco N. Becker,5,"Newcastle United, Olympiacos, Chelsea, Liverpool, Real Madrid"
Alexander A. Roux,4,"Villarreal, Barcelona, VfL Wolfsburg, Aston Villa"
Kwan C. Diaz,4,"AC Milan, Liverpool, Villarreal, Paris Saint-Germain"
Ethan M. Rossi,6,"Everton, Atalanta, Flamengo, Al-Ahli, Besiktas, Villarreal"
Kenji P. Fischer,6,"Everton, Tottenham Hotspur, Real Betis, Al-Hilal, Dynamo Kyiv, Al-Ittihad"
Lorenzo J. Ferrari,6,"Wolverhampton, Arsenal, Flamengo, FC Porto, Chelsea, AS Roma"
Eden L. Ricci,3,"Newcastle United, FC Porto, Inter Milan"
Alessandro T. Schneider,1,Fiorentina
Andrei P. Visser,7,"Palmeiras, Al-Nassr, Galatasaray, Paris Saint-Germain, Sporting CP, Chelsea, Manchester United"
Thibaut B. Rossi,5,"Getafe, Valencia, Tottenham Hotspur, Sevilla, Sporting CP"
Gianluigi A. Bianchi,2,"Atalanta, AS Roma"
Mateo K. Michel,3,"São Paulo, Tottenham Hotspur, Atalanta"
Bernardo M. Fischer,6,"Paris Saint-Germain, River Plate, Atlanta United, Fluminense, Borussia Dortmund, Santos"
Kwan H. Romano,2,"Ajax, Besiktas"
Ethan E. Alvarez,6,"Athletic Bilbao, River Plate, Bologna, Rennes, Eintracht Frankfurt, Olympiacos"
Mateo V. David,2,"Rennes, Valencia"
Luka B. Alvarez,1,Corinthians
Lorenzo S. Bertrand,7,"Atletico Madrid, São Paulo, Napoli, Marseille, Chelsea, Rennes, Paris Saint-Germain"
João K. Williams,2,"Borussia Mönchengladbach, Borussia Dortmund"
Mason P. Davies,6,"SS Lazio, Inter Miami, Newcastle United, Borussia Mönchengladbach, Celtic, AS Roma"
Leonardo S. Schneider,6,"Rangers, Borussia Dortmund, Brighton & Hove Albion, Wolverhampton, Fiorentina, Getafe"
Thibaut E. Hernandez,1,Newcastle United
Alexander Flores,2,"Liverpool, Celtic"
Romelu B. Wagner,3,"Shakhtar Donetsk, Al-Ahli, FC Porto"
Sven T. Fischer,1,Al-Ahli
Gavi A. Laurent,4,"FC Porto, Atletico Madrid, Real Betis, Atalanta"
Luka H. Esposito,4,"Corinthians, LA Galaxy, Manchester United, Rangers"
Felix K. De Bruyne,1,São Paulo
Chidi G. Taylor,3,"Everton, Fiorentina, Corinthians"
Amir N. Thomas,3,"Monaco, Marseille, Atletico Madrid"
Benjamin N. Roberts,2,"Atletico Madrid, Brighton & Hove Albion"
Eden H. Esposito,2,"SS Lazio, Galatasaray"
Igor A. Gomez,2,"River Plate, Inter Milan"
Axel N. Bruno,7,"VfL Wolfsburg, Real Madrid, Palmeiras, FC Porto, Boca Juniors, Villarreal, Inter Milan"
Romelu J. Lefebvre,2,"Paris Saint-Germain, Valencia"
David C. Diaz,3,"Tottenham Hotspur, Dynamo Kyiv, Villarreal"
Lukas Colombo,4,"Inter Miami, BRAGA, Santos, Borussia Mönchengladbach"
Ethan K. Williams,4,"Atletico Madrid, Juventus, Newcastle United, Napoli"
Virgil R. Smit,2,"Al-Ahli, Feyenoord"
Maximilian J. Jones,2,"Real Betis, Fenerbahce"
Oliver A. Flores,5,"Galatasaray, Bayer Leverkusen, Inter Miami, Real Betis, Olympiacos"
Chidi M. Schmidt,7,"Napoli, Valencia, Schalke 04, Dynamo Kyiv, Barcelona, LAFC, Manchester City"
Gonçalo T. Smit,4,"Palmeiras, Brighton & Hove Albion, Getafe, Besiktas"
Miklós J. Jansen,3,"Tottenham Hotspur, Inter Milan, Santos"
Xavi G. Flores,4,"Borussia Dortmund, PSV Eindhoven, Lille, Atalanta"
Benjamin A. David,4,"Manchester United, Galatasaray, Al-Ahli, Borussia Dortmund"
Jonas F. Esposito,6,"Marseille, Atalanta, Galatasaray, Real Madrid, Paris Saint-Germain, Bayer Leverkusen"
Youssef K. Leroy,5,"VfL Wolfsburg, Marseille, BRAGA, SS Lazio, Rangers"
Gianluigi P. Fischer,2,"Galatasaray, Manchester City"
Kofi R. Lopez,3,"Dynamo Kyiv, Galatasaray, Arsenal"
Louis M. Bianchi,6,"FC Porto, Eintracht Frankfurt, Atlanta United, Lille, Shakhtar Donetsk, Bologna"
Kenji K. Evans,6,"Athletic Bilbao, River Plate, Rangers, Marseille, Real Betis, Juventus"
Samuel De Bruyne,5,"Atalanta, Atletico Madrid, Valencia, Schalke 04, Manchester United"
Chidi L. Nieuwenhuis,4,"AS Roma, Rangers, Bayern Munich, AC Milan"
Gavi J. Bruno,2,"Fluminense, AS Roma"
Samuel L. Thomas,4,"RB Leipzig, Atalanta, Athletic Bilbao, Feyenoord"
João K. Wilson,3,"Inter Miami, AC Milan, FC Porto"
Santiago E. Weber,7,"Brighton & Hove Albion, Torino, Boca Juniors, Borussia Dortmund, BRAGA, Arsenal, RB Leipzig"
Gonçalo F. Wilson,7,"Grêmio, Galatasaray, Feyenoord, Marseille, Sevilla, Real Sociedad, Borussia Dortmund"
Oluwaseun P. Taylor,6,"Manchester United, Eintracht Frankfurt, Benfica, Newcastle United, Athletic Bilbao, Bayer Leverkusen"
Dimitri R. Romano,6,"Feyenoord, Atletico Madrid, SS Lazio, Borussia Mönchengladbach, Al-Ittihad, Shakhtar Donetsk"
Igor K. Hoffmann,1,Manchester United
Federico E. Colombo,7,"Rangers, Tottenham Hotspur, Napoli, Lyon, Dynamo Kyiv, Manchester United, Olympiacos"
Memphis J. Taylor,1,Dynamo Kyiv
Paul V. Visser,5,"LA Galaxy, Lyon, Besiktas, Rennes, Sevilla"
Felix T. Smit,3,"São Paulo, Everton, SS Lazio"
Cody V. Fernandez,4,"Olympiacos, Atalanta, Atletico Madrid, Grêmio"
Amir F. Michel,2,"Olympiacos, Newcastle United"
Stefan S. Flores,7,"Napoli, Monaco, AS Roma, Atalanta, Dynamo Kyiv, PSV Eindhoven, Al-Hilal"
Lorenzo C. Taylor,7,"Atlanta United, Dynamo Kyiv, VfL Wolfsburg, Benfica, AC Milan, Barcelona, Schalke 04"
Paul S. Jansen,1,Aston Villa
Nathan G. Taylor,2,"River Plate, Al-Ittihad"
Sven B. Ferrari,3,"FC Porto, Real Betis, West Ham United"
Oliver P. Brown,5,"Napoli, Sevilla, Barcelona, Nice, Manchester United"
Paul N. Weber,4,"Nice, Barcelona, Atlanta United, Grêmio"
Sandro R. Lefebvre,7,"Wolverhampton, Inter Milan, Lille, Sevilla, Juventus, Palmeiras, Shakhtar Donetsk"
Mateo K. Schmidt,2,"Napoli, Nice"
Ivan B. Rossi,5,"Boca Juniors, Arsenal, BRAGA, Newcastle United, Fiorentina"
Eden P. Visser,4,"Sporting CP, Liverpool, Torino, Napoli"
Ciro B. Ferrari,2,"Lille, Feyenoord"
Miklós K. Santos,1,Fiorentina
Chidi Marino,1,Palmeiras
Kevin A. Lefebvre,7,"Shakhtar Donetsk, Santos, Sevilla, Nice, Bayern Munich, Chelsea, Arsenal"
Luka Dubois,4,"Inter Miami, Manchester United, Flamengo, Al-Hilal"
Virgil Perez,1,Sevilla
Pedri C. David,6,"Aston Villa, Bayer Leverkusen, Flamengo, Borussia Dortmund, Fluminense, Arsenal"
Sandro C. Gomez,5,"Al-Hilal, Bayern Munich, Inter Milan, Real Madrid, Arsenal"
Giorgio N. Silva,1,Feyenoord
Giorgio Hernandez,5,"Real Betis, Fenerbahce, Schalke 04, Borussia Mönchengladbach, Inter Milan"
Toby B. Leroy,5,"Liverpool, Palmeiras, Lille, Manchester United, Monaco"
Marco V. Lopez,2,"São Paulo, Monaco"
Gavi G. Rossi,3,"Al-Ahli, Tottenham Hotspur, Juventus"
Kacper N. Lefebvre,2,"Manchester City, BRAGA"
Pedri B. Smith,6,"PSV Eindhoven, Valencia, Juventus, Paris Saint-Germain, Galatasaray, Rangers"
Ciro C. Weber,5,"Al-Nassr, Everton, Athletic Bilbao, Palmeiras, Feyenoord"
Daniel A. Lopez,1,Benfica
Paul J. De Bruyne,5,"SS Lazio, Flamengo, Al-Ahli, Manchester United, Rennes"
Lorenzo N. Lefebvre,6,"Valencia, Napoli, Nice, Boca Juniors, Real Betis, Fenerbahce"
Hiroshi E. Fischer,7,"Brighton & Hove Albion, Arsenal, Marseille, Real Betis, PSV Eindhoven, Chelsea, Manchester City"
Sven V. Alvarez,2,"Palmeiras, Flamengo"
